Date,SIM-KS10 UDP,Interval Total
2022-03-01,227.768538999837,227.768538999837
2022-03-02,2390.96996800019,2390.96996800019
2022-03-03,2390.96996799996,2390.96996799996
2022-03-04,2390.96996899997,2390.96996899997
2022-03-05,2390.96996699995,2390.96996699995
2022-03-06,2390.96996799996,2390.96996799996
2022-03-07,2390.96996900043,2390.96996900043
2022-03-08,2390.96996799973,2390.96996799973
2022-03-09,2390.96996799996,2390.96996799996
2022-03-10,2390.96996699995,2390.96996699995
2022-03-11,2390.96996899997,2390.96996899997
2022-03-12,2390.96996800019,2390.96996800019
2022-03-13,2390.96996799996,2390.96996799996
2022-03-14,2390.96996699995,2390.96996699995
2022-03-15,2390.96996899997,2390.96996899997
2022-03-16,2390.96996799996,2390.96996799996
2022-03-17,2390.96996800019,2390.96996800019
2022-03-18,2390.96996899997,2390.96996899997
2022-03-19,2390.96996699995,2390.96996699995
2022-03-20,2390.96996799996,2390.96996799996
2022-03-21,2390.96996799973,2390.96996799973
2022-03-22,2390.96996900043,2390.96996900043
2022-03-23,2390.96996699949,2390.96996699949
2022-03-24,2390.96996800043,2390.96996800043
2022-03-25,2390.96996799973,2390.96996799973
2022-03-26,2390.96996899997,2390.96996899997
2022-03-27,2390.96996800043,2390.96996800043
2022-03-28,531.326658999547,531.326658999547
2022-03-29,2382.66798900021,2382.66798900021
2022-03-30,2390.96996799996,2390.96996799996
2022-03-31,2382.66798899975,2382.66798899975
2022-04-01,2390.96996800043,2390.96996800043
2022-04-02,2390.96996799973,2390.96996799973
2022-04-03,2366.06403200002,2366.06403200002
2022-04-04,2382.6679880002,2382.6679880002
2022-04-05,2366.06403099978,2366.06403099978
2022-04-06,2390.96996800019,2390.96996800019
2022-04-07,2374.36601,2374.36601
2022-04-08,2390.96996799973,2390.96996799973
2022-04-09,2390.96996800043,2390.96996800043
2022-04-10,2390.96996799996,2390.96996799996
2022-04-11,2374.36601,2374.36601
2022-04-12,2390.96996899974,2390.96996899974
2022-04-13,2382.66798799997,2382.66798799997
2022-04-14,2357.76205200027,2357.76205200027
2022-04-15,2374.36601,2374.36601
2022-04-16,2390.96996799996,2390.96996799996
2022-04-17,2341.15809399961,2341.15809399961
2022-04-18,2382.66798900045,2382.66798900045
2022-04-19,2382.66798799974,2382.66798799974
2022-04-20,2390.96996899997,2390.96996899997
2022-04-21,2390.96996800019,2390.96996800019
2022-04-22,2390.96996799996,2390.96996799996
2022-04-23,2374.36600999977,2374.36600999977
2022-04-24,2390.96996700019,2390.96996700019
2022-04-25,2390.9699690002,2390.9699690002
2022-04-26,2382.66798899975,2382.66798899975
2022-04-27,2366.06403000001,2366.06403000001
2022-04-28,2390.9699690002,2390.9699690002
2022-04-29,2382.66798799997,2382.66798799997
2022-04-30,2390.9699690002,2390.9699690002
2022-05-01,2390.9699679995,2390.9699679995
2022-05-02,2390.96996799996,2390.96996799996
2022-05-03,2390.96996800043,2390.96996800043
2022-05-04,2390.96996799996,2390.96996799996
2022-05-05,2390.96996799996,2390.96996799996
2022-05-06,2382.66798999999,2382.66798999999
2022-05-07,2390.96996699972,2390.96996699972
2022-05-08,2316.25215699989,2316.25215699989
2022-05-09,2390.96996700019,2390.96996700019
2022-05-10,2390.9699690002,2390.9699690002
2022-05-11,2390.96996799996,2390.96996799996
2022-05-12,2390.96996799996,2390.96996799996
2022-05-13,2382.66798899975,2382.66798899975
2022-05-14,2390.96996799996,2390.96996799996
2022-05-15,2390.96996800043,2390.96996800043
2022-05-16,2366.06403000001,2366.06403000001
2022-05-17,2390.96996899974,2390.96996899974
2022-05-18,2390.96996799996,2390.96996799996
2022-05-19,2390.96996800043,2390.96996800043
2022-05-20,2390.96996899974,2390.96996899974
2022-05-21,2390.96996700019,2390.96996700019
2022-05-22,2390.96996799996,2390.96996799996
2022-05-23,2390.9699679995,2390.9699679995
2022-05-24,2390.96996900067,2390.96996900067
2022-05-25,2390.96996699926,2390.96996699926
2022-05-26,2382.66798900021,2382.66798900021
2022-05-27,2390.9699690002,2390.9699690002
2022-05-28,2390.96996699972,2390.96996699972
2022-05-29,2390.96996800043,2390.96996800043
2022-05-30,2390.96996899974,2390.96996899974
2022-05-31,2382.66798799997,2382.66798799997
2022-06-01,2390.96996800043,2390.96996800043
2022-06-02,2390.96996899974,2390.96996899974
2022-06-03,2374.36601,2374.36601
2022-06-04,2390.96996799996,2390.96996799996
2022-06-05,2390.96996799996,2390.96996799996
2022-06-06,2390.96996699972,2390.96996699972
2022-06-07,2390.96996900067,2390.96996900067
2022-06-08,2382.66798799951,2382.66798799951
2022-06-09,2390.9699690002,2390.9699690002
2022-06-10,2390.96996799996,2390.96996799996
2022-06-11,2390.96996799996,2390.96996799996
2022-06-12,2390.96996799996,2390.96996799996
2022-06-13,2374.36601,2374.36601
2022-06-14,2390.96996799996,2390.96996799996
2022-06-15,2382.66798900021,2382.66798900021
2022-06-16,2382.66798899975,2382.66798899975
2022-06-17,2390.96996799996,2390.96996799996
2022-06-18,2390.96996800043,2390.96996800043
2022-06-19,2390.96996899974,2390.96996899974
2022-06-20,2390.96996700019,2390.96996700019
2022-06-21,2390.96996799996,2390.96996799996
2022-06-22,2382.66798999999,2382.66798999999
2022-06-23,2390.96996700019,2390.96996700019
2022-06-24,2390.9699679995,2390.9699679995
2022-06-25,2390.9699690002,2390.9699690002
2022-06-26,2390.96996799996,2390.96996799996
2022-06-27,2390.96996699972,2390.96996699972
2022-06-28,2390.96996800043,2390.96996800043
2022-06-29,2390.96996899974,2390.96996899974
2022-06-30,2390.96996799996,2390.96996799996
2022-07-01,2382.66798800044,2382.66798800044
2022-07-02,2382.66798999999,2382.66798999999
2022-07-03,2390.96996699972,2390.96996699972
2022-07-04,2390.9699690002,2390.9699690002
2022-07-05,2390.96996799996,2390.96996799996
2022-07-06,2390.96996799996,2390.96996799996
2022-07-07,2390.96996699972,2390.96996699972
2022-07-08,2390.9699690002,2390.9699690002
2022-07-09,2390.96996799996,2390.96996799996
2022-07-10,2390.96996799996,2390.96996799996
2022-07-11,2390.96996899974,2390.96996899974
2022-07-12,2258.13830200071,2258.13830200071
2022-07-13,2332.85611399962,2332.85611399962
2022-07-14,2390.9699690002,2390.9699690002
2022-07-15,2390.96996799996,2390.96996799996
2022-07-16,2390.96996799996,2390.96996799996
2022-07-17,2390.96996899974,2390.96996899974
2022-07-18,2390.96996700019,2390.96996700019
2022-07-19,2382.66798899975,2382.66798899975
2022-07-20,2390.9699690002,2390.9699690002
2022-07-21,2390.96996699972,2390.96996699972
2022-07-22,2390.96996800043,2390.96996800043
2022-07-23,2390.96996899974,2390.96996899974
2022-07-24,1950.96507800044,1950.96507800044
2022-07-25,2390.96996699972,2390.96996699972
2022-07-26,2390.96996799996,2390.96996799996
2022-07-27,2390.9699690002,2390.9699690002
2022-07-28,2390.9699679995,2390.9699679995
2022-07-29,2390.96996800043,2390.96996800043
2022-07-30,2382.66798899975,2382.66798899975
2022-07-31,2390.96996799996,2390.96996799996
2022-08-01,2390.96996700019,2390.96996700019
2022-08-02,2390.96996899974,2390.96996899974
2022-08-03,2382.66798900021,2382.66798900021
2022-08-04,2390.96996700019,2390.96996700019
2022-08-05,2390.96996899974,2390.96996899974
2022-08-06,2390.96996800043,2390.96996800043
2022-08-07,2390.96996799996,2390.96996799996
2022-08-08,2390.96996899974,2390.96996899974
2022-08-09,2390.96996700019,2390.96996700019
2022-08-10,2390.9699679995,2390.9699679995
2022-08-11,2390.96996800043,2390.96996800043
2022-08-12,2390.96996899974,2390.96996899974
2022-08-13,2390.96996700019,2390.96996700019
2022-08-14,2390.96996799996,2390.96996799996
2022-08-15,2390.96996799996,2390.96996799996
2022-08-16,2390.9699690002,2390.9699690002
2022-08-17,2390.96996799996,2390.96996799996
2022-08-18,2390.96996700019,2390.96996700019
2022-08-19,2390.96996899974,2390.96996899974
2022-08-20,2390.96996799996,2390.96996799996
2022-08-21,2382.66798799997,2382.66798799997
2022-08-22,2390.9699690002,2390.9699690002
2022-08-23,2390.9699679995,2390.9699679995
2022-08-24,2382.66798900068,2382.66798900068
2022-08-25,2390.9699679995,2390.9699679995
2022-08-26,2390.96996799996,2390.96996799996
2022-08-27,2390.96996800043,2390.96996800043
2022-08-28,2390.9699679995,2390.9699679995
2022-08-29,2390.96996800043,2390.96996800043
2022-08-30,2390.96996799996,2390.96996799996
2022-08-31,2390.9699679995,2390.9699679995
2022-09-01,2390.96996900067,2390.96996900067
2022-09-02,2390.96996699972,2390.96996699972
2022-09-03,2390.96996799996,2390.96996799996
2022-09-04,2390.9699690002,2390.9699690002
2022-09-05,2382.66798799951,2382.66798799951
2022-09-06,2390.96996800043,2390.96996800043
2022-09-07,2390.96996899974,2390.96996899974
2022-09-08,2390.96996799996,2390.96996799996
2022-09-09,2390.96996700019,2390.96996700019
2022-09-10,2390.96996799996,2390.96996799996
2022-09-11,2390.9699690002,2390.9699690002
2022-09-12,2390.96996799996,2390.96996799996
2022-09-13,2390.96996699972,2390.96996699972
2022-09-14,2390.9699690002,2390.9699690002
2022-09-15,2374.36600899976,2374.36600899976
2022-09-16,2382.66799000045,2382.66799000045
2022-09-17,2390.96996699972,2390.96996699972
2022-09-18,2390.9699690002,2390.9699690002
2022-09-19,2390.9699679995,2390.9699679995
2022-09-20,2390.96996800043,2390.96996800043
2022-09-21,2390.96996799996,2390.96996799996
2022-09-22,2390.96996799996,2390.96996799996
2022-09-23,2390.96996799996,2390.96996799996
2022-09-24,2390.96996799996,2390.96996799996
2022-09-25,2390.9699690002,2390.9699690002
2022-09-26,2390.96996699972,2390.96996699972
2022-09-27,2390.96996800043,2390.96996800043
2022-09-28,2390.9699679995,2390.9699679995
2022-09-29,2390.9699690002,2390.9699690002
2022-09-30,2390.96996799996,2390.96996799996
2022-10-01,2390.96996700019,2390.96996700019
2022-10-02,2390.96996799996,2390.96996799996
2022-10-03,2382.66798999999,2382.66798999999
2022-10-04,2390.96996699972,2390.96996699972
2022-10-05,2390.9699690002,2390.9699690002
2022-10-06,2390.96996799996,2390.96996799996
2022-10-07,2390.96996799996,2390.96996799996
2022-10-08,2390.96996700019,2390.96996700019
2022-10-09,2390.9699690002,2390.9699690002
2022-10-10,2390.96996799996,2390.96996799996
2022-10-11,2390.9699679995,2390.9699679995
2022-10-12,2390.96996799996,2390.96996799996
2022-10-13,2390.96996799996,2390.96996799996
2022-10-14,2390.96996800043,2390.96996800043
2022-10-15,2390.96996799996,2390.96996799996
2022-10-16,2390.96996899974,2390.96996899974
2022-10-17,2390.96996700019,2390.96996700019
2022-10-18,2390.96996799996,2390.96996799996
2022-10-19,2390.96996800043,2390.96996800043
2022-10-20,2390.96996899974,2390.96996899974
2022-10-21,2390.96996799996,2390.96996799996
2022-10-22,2390.96996699972,2390.96996699972
2022-10-23,2382.66799000045,2382.66799000045
2022-10-24,2390.9699679995,2390.9699679995
2022-10-25,2390.96996700019,2390.96996700019
2022-10-26,2390.96996899974,2390.96996899974
2022-10-27,2390.96996800043,2390.96996800043
2022-10-28,2390.96996799996,2390.96996799996
2022-10-29,2390.96996700019,2390.96996700019
2022-10-30,2390.96996899974,2390.96996899974
2022-10-31,2390.96996799996,2390.96996799996
2022-11-01,2390.96996800043,2390.96996800043
2022-11-02,2390.9699679995,2390.9699679995
2022-11-03,2390.96996800043,2390.96996800043
2022-11-04,2390.9699679995,2390.9699679995
2022-11-05,2390.96996799996,2390.96996799996
2022-11-06,2390.9699690002,2390.9699690002
2022-11-07,2390.96996699972,2390.96996699972
2022-11-08,2390.96996800043,2390.96996800043
2022-11-09,2349.46007299982,2349.46007299982
2022-11-10,2390.96996799996,2390.96996799996
2022-11-11,2390.96996899974,2390.96996899974
2022-11-12,2390.96996700019,2390.96996700019
2022-11-13,2390.96996799996,2390.96996799996
2022-11-14,2390.96996800043,2390.96996800043
2022-11-15,2390.96996899974,2390.96996899974
2022-11-16,2390.96996799996,2390.96996799996
2022-11-17,2390.96996700019,2390.96996700019
2022-11-18,2390.96996799996,2390.96996799996
2022-11-19,2390.9699690002,2390.9699690002
2022-11-20,2390.9699679995,2390.9699679995
2022-11-21,2390.96996700019,2390.96996700019
2022-11-22,2390.9699690002,2390.9699690002
2022-11-23,2390.96996799996,2390.96996799996
2022-11-24,2390.96996799996,2390.96996799996
2022-11-25,2390.96996799996,2390.96996799996
2022-11-26,2390.96996799996,2390.96996799996
2022-11-27,2390.96996799996,2390.96996799996
2022-11-28,2382.66798900021,2382.66798900021
2022-11-29,2390.96996799996,2390.96996799996
2022-11-30,2390.96996799996,2390.96996799996
2022-12-01,2390.96996799996,2390.96996799996
2022-12-02,2390.9699690002,2390.9699690002
2022-12-03,2390.96996699972,2390.96996699972
2022-12-04,2390.96996799996,2390.96996799996
2022-12-05,2390.96996799996,2390.96996799996
2022-12-06,2390.9699690002,2390.9699690002
2022-12-07,2390.96996799996,2390.96996799996
2022-12-08,2390.96996700019,2390.96996700019
2022-12-09,2390.96996799996,2390.96996799996
2022-12-10,2390.96996899974,2390.96996899974
2022-12-11,2390.96996800043,2390.96996800043
2022-12-12,2390.96996699926,2390.96996699926
2022-12-13,2390.96996900067,2390.96996900067
2022-12-14,2390.96996799996,2390.96996799996
2022-12-15,2390.9699679995,2390.9699679995
2022-12-16,2374.36601,2374.36601
2022-12-17,2390.96996800043,2390.96996800043
2022-12-18,2390.9699679995,2390.9699679995
2022-12-19,2390.96996800043,2390.96996800043
2022-12-20,2390.96996799996,2390.96996799996
2022-12-21,2390.96996799996,2390.96996799996
2022-12-22,2382.66798900021,2382.66798900021
2022-12-23,2390.96996799996,2390.96996799996
2022-12-24,2390.96996899974,2390.96996899974
2022-12-25,2390.96996700019,2390.96996700019
2022-12-26,2390.96996799996,2390.96996799996
2022-12-27,2390.96996799996,2390.96996799996
2022-12-28,2390.9699690002,2390.9699690002
2022-12-29,2390.9699679995,2390.9699679995
2022-12-30,2390.96996700019,2390.96996700019
2022-12-31,2390.96996799996,2390.96996799996
2023-01-01,2390.9699690002,2390.9699690002
2023-01-02,2390.96996799996,2390.96996799996
2023-01-03,2390.96996799996,2390.96996799996
2023-01-04,2390.96996799996,2390.96996799996
2023-01-05,2390.96996799996,2390.96996799996
2023-01-06,2390.96996800043,2390.96996800043
2023-01-07,2390.9699679995,2390.9699679995
2023-01-08,2390.96996800043,2390.96996800043
2023-01-09,2390.9699679995,2390.9699679995
2023-01-10,2390.96996799996,2390.96996799996
2023-01-11,2390.96996800043,2390.96996800043
2023-01-12,2390.96996899974,2390.96996899974
2023-01-13,2374.36601,2374.36601
2023-01-14,2382.66798799997,2382.66798799997
2023-01-15,2366.06403100025,2366.06403100025
2023-01-16,2390.9699679995,2390.9699679995
2023-01-17,2390.96996800043,2390.96996800043
2023-01-18,2390.96996799996,2390.96996799996
2023-01-19,2382.66798899975,2382.66798899975
2023-01-20,2382.66798900021,2382.66798900021
2023-01-21,2390.9699690002,2390.9699690002
2023-01-22,2390.96996699972,2390.96996699972
2023-01-23,2390.96996800043,2390.96996800043
2023-01-24,2390.96996899974,2390.96996899974
2023-01-25,2390.96996799996,2390.96996799996
2023-01-26,2374.36601,2374.36601
2023-01-27,2390.96996700019,2390.96996700019
2023-01-28,2382.66798999999,2382.66798999999
2023-01-29,2366.06403000001,2366.06403000001
2023-01-30,2390.96996799996,2390.96996799996
2023-01-31,2390.9699679995,2390.9699679995
2023-02-01,2390.96996900067,2390.96996900067
2023-02-02,2349.46007200005,2349.46007200005
2023-02-03,2390.9699679995,2390.9699679995
2023-02-04,2390.96996800043,2390.96996800043
2023-02-05,2390.9699679995,2390.9699679995
2023-02-06,2374.36601000046,2374.36601000046
2023-02-07,2390.9699679995,2390.9699679995
2023-02-08,2390.96996900067,2390.96996900067
2023-02-09,2390.96996699926,2390.96996699926
2023-02-10,2390.96996800043,2390.96996800043
2023-02-11,2390.96996899974,2390.96996899974
2023-02-12,2390.96996799996,2390.96996799996
2023-02-13,2390.96996800043,2390.96996800043
2023-02-14,2390.96996699972,2390.96996699972
2023-02-15,2390.9699690002,2390.9699690002
2023-02-16,2390.96996799996,2390.96996799996
2023-02-17,2390.96996799996,2390.96996799996
2023-02-18,2390.96996699972,2390.96996699972
2023-02-19,2390.9699690002,2390.9699690002
2023-02-20,2390.96996799996,2390.96996799996
2023-02-21,2390.96996799996,2390.96996799996
2023-02-22,2390.9699690002,2390.9699690002
2023-02-23,2390.96996699972,2390.96996699972
2023-02-24,2390.96996799996,2390.96996799996
2023-02-25,2390.96996800043,2390.96996800043
2023-02-26,2390.96996899974,2390.96996899974
2023-02-27,2390.96996700019,2390.96996700019
2023-02-28,2390.96996799996,2390.96996799996
2023-03-01,2390.96996799996,2390.96996799996
2023-03-02,2390.9699690002,2390.9699690002
2023-03-03,2390.96996799996,2390.96996799996
2023-03-04,2390.96996699972,2390.96996699972
2023-03-05,2390.9699690002,2390.9699690002
2023-03-06,2390.96996799996,2390.96996799996
2023-03-07,2390.96996799996,2390.96996799996
2023-03-08,2390.96996700019,2390.96996700019
2023-03-09,2390.96996899974,2390.96996899974
2023-03-10,2390.96996799996,2390.96996799996
2023-03-11,2390.96996800043,2390.96996800043
2023-03-12,2390.9699679995,2390.9699679995
2023-03-13,2390.96996800043,2390.96996800043
2023-03-14,2390.96996799996,2390.96996799996
2023-03-15,2382.66798999999,2382.66798999999
2023-03-16,2390.96996700019,2390.96996700019
2023-03-17,2390.9699679995,2390.9699679995
2023-03-18,2390.96996799996,2390.96996799996
2023-03-19,2390.9699690002,2390.9699690002
2023-03-20,2390.96996699972,2390.96996699972
2023-03-21,2390.96996800043,2390.96996800043
2023-03-22,2390.96996799996,2390.96996799996
2023-03-23,2390.96996899974,2390.96996899974
2023-03-24,2382.66798800044,2382.66798800044
2023-03-25,2390.96996899974,2390.96996899974
2023-03-26,2390.96996799996,2390.96996799996
2023-03-27,2366.06403000001,2366.06403000001
2023-03-28,2390.96996799996,2390.96996799996
2023-03-29,2367.534461,2367.534461
2023-03-30,2332.5,2332.5
2023-03-31,2331.5,2331.5
2023-04-01,2335,2335
2023-04-02,2322.25,2322.25
2023-04-03,2331.75,2331.75
2023-04-04,2328.5,2328.5
2023-04-05,2330,2330
2023-04-06,2330.75,2330.75
2023-04-07,2328,2328
2023-04-08,2335,2335
2023-04-09,2320.75,2320.75
2023-04-10,2331.5,2331.5
2023-04-11,2338,2338
2023-04-12,2333.5,2333.5
2023-04-13,2338.25,2338.25
2023-04-14,2335.75,2335.75
2023-04-15,2336.75,2336.75
2023-04-16,2330.25,2330.25
2023-04-17,2337.75,2337.75
2023-04-18,2338.25,2338.25
2023-04-19,2339.25,2339.25
2023-04-20,2326.25,2326.25
2023-04-21,2322.25,2322.25
2023-04-22,2335,2335
2023-04-23,2330,2330
2023-04-24,2340.5,2340.5
2023-04-25,2338.25,2338.25
2023-04-26,2337,2337
2023-04-27,2338.25,2338.25
2023-04-28,2335.25,2335.25
2023-04-29,2340.5,2340.5
2023-04-30,2333.5,2333.5
2023-05-01,2325.25,2325.25
2023-05-02,2343,2343
2023-05-03,2336.5,2336.5
2023-05-04,2338.5,2338.5
2023-05-05,2340,2340
2023-05-06,2341,2341
2023-05-07,2327.25,2327.25
2023-05-08,2343,2343
2023-05-09,2338.25,2338.25
2023-05-10,2334,2334
2023-05-11,2327.5,2327.5
2023-05-12,2328.25,2328.25
2023-05-13,2331,2331
2023-05-14,2321.5,2321.5
2023-05-15,2331.5,2331.5
2023-05-16,2327.75,2327.75
2023-05-17,2328.25,2328.25
2023-05-18,2323.5,2323.5
2023-05-19,2312.25,2312.25
2023-05-20,2327.75,2327.75
2023-05-21,2320,2320
2023-05-22,2332,2332
2023-05-23,2333,2333
2023-05-24,2332.25,2332.25
2023-05-25,2325.75,2325.75
2023-05-26,2327.5,2327.5
2023-05-27,2336,2336
2023-05-28,2319,2319
2023-05-29,2321.25,2321.25
2023-05-30,2309.75,2309.75
2023-05-31,2310.5,2310.5
2023-06-01,2282.25,2282.25
2023-06-02,2188,2188
2023-06-03,2133.75,2133.75
2023-06-04,2127.25,2127.25
2023-06-05,2133.5,2133.5
2023-06-06,2139.5,2139.5
2023-06-07,2131.25,2131.25
2023-06-08,2130.5,2130.5
2023-06-09,2132,2132
2023-06-10,2134.25,2134.25
2023-06-11,2124.5,2124.5
2023-06-12,2137.5,2137.5
2023-06-13,2137.25,2137.25
2023-06-14,2138.75,2138.75
2023-06-15,2135.25,2135.25
2023-06-16,2128.25,2128.25
2023-06-17,2130.25,2130.25
2023-06-18,2119.75,2119.75
2023-06-19,2131.25,2131.25
2023-06-20,2132,2132
2023-06-21,2131.75,2131.75
2023-06-22,2126.75,2126.75
2023-06-23,2129.25,2129.25
2023-06-24,2134.5,2134.5
2023-06-25,2128.5,2128.5
2023-06-26,2126,2126
2023-06-27,2123.25,2123.25
2023-06-28,2113.25,2113.25
2023-06-29,2111.75,2111.75
2023-06-30,2111,2111
2023-07-01,2127.75,2127.75
2023-07-02,2126.5,2126.5
2023-07-03,2131,2131
2023-07-04,2133.25,2133.25
2023-07-05,2125.25,2125.25
2023-07-06,2124,2124
2023-07-07,2123,2123
2023-07-08,2127.75,2127.75
2023-07-09,2115.75,2115.75
2023-07-10,2128.25,2128.25
2023-07-11,2124.5,2124.5
2023-07-12,2122,2122
2023-07-13,2078,2078
2023-07-14,2049,2049
2023-07-15,2047.5,2047.5
2023-07-16,2040.5,2040.5
2023-07-17,2050.25,2050.25
2023-07-18,2052,2052
2023-07-19,2047,2047
2023-07-20,2043.5,2043.5
2023-07-21,2042,2042
2023-07-22,2046.75,2046.75
2023-07-23,2035,2035
2023-07-24,2046.5,2046.5
2023-07-25,2051.5,2051.5
2023-07-26,2043,2043
2023-07-27,2044,2044
2023-07-28,2044.75,2044.75
2023-07-29,2046.75,2046.75
2023-07-30,2036.75,2036.75
2023-07-31,2050.5,2050.5
2023-08-01,2052.5,2052.5
2023-08-02,2054,2054
2023-08-03,2066.75,2066.75
2023-08-04,2103,2103
2023-08-05,2110.75,2110.75
2023-08-06,2103.75,2103.75
2023-08-07,2090.5,2090.5
2023-08-08,1713.75,1713.75
2023-08-14,12831.25,12831.25
2023-08-15,2091.5,2091.5
2023-08-16,2106.5,2106.5
2023-08-17,2096,2096
2023-08-18,2101.75,2101.75
2023-08-19,2101.25,2101.25
2023-08-20,2096.25,2096.25
2023-08-21,2101.75,2101.75
2023-08-22,2108,2108
2023-08-23,2101.25,2101.25
2023-08-24,2100.75,2100.75
2023-08-25,2160,2160
2023-08-26,2220,2220
2023-08-27,2210,2210
2023-08-28,2218.5,2218.5
2023-08-29,2209.5,2209.5
2023-08-30,2214.5,2214.5
2023-08-31,2216,2216
2023-09-01,2219.75,2219.75
2023-09-02,2218.25,2218.25
2023-09-03,2210,2210
2023-09-04,2221.75,2221.75
2023-09-05,2221.5,2221.5
2023-09-06,2214.5,2214.5
2023-09-07,2211.25,2211.25
2023-09-08,2197.25,2197.25
2023-09-09,2190.75,2190.75
2023-09-10,2182,2182
2023-09-11,2195,2195
2023-09-12,2190,2190
2023-09-13,2184,2184
2023-09-14,2187.5,2187.5
2023-09-15,2183.25,2183.25
2023-09-16,2185.75,2185.75
2023-09-17,2179.75,2179.75
2023-09-18,2186.25,2186.25
2023-09-19,2188.5,2188.5
2023-09-20,2193.75,2193.75
2023-09-21,2190.5,2190.5
2023-09-22,2195.5,2195.5
2023-09-23,2194.25,2194.25
2023-09-24,2184,2184
2023-09-25,2141,2141
2023-09-26,2103.5,2103.5
2023-09-27,2087.25,2087.25
2023-09-28,2088.25,2088.25
2023-09-29,2092.75,2092.75
2023-09-30,2090.5,2090.5
2023-10-01,2082.75,2082.75
2023-10-02,2094.5,2094.5
2023-10-03,2092.25,2092.25
2023-10-04,2087.5,2087.5
2023-10-05,2092.5,2092.5
2023-10-06,2091,2091
2023-10-07,2090,2090
2023-10-08,2085.25,2085.25
2023-10-09,2093.25,2093.25
2023-10-10,2091.75,2091.75
2023-10-11,2089,2089
2023-10-12,2089.25,2089.25
2023-10-13,2084.75,2084.75
2023-10-14,2085.75,2085.75
2023-10-15,2079,2079
2023-10-16,2084.75,2084.75
2023-10-17,2085.25,2085.25
2023-10-18,2088.25,2088.25
2023-10-19,2086,2086
2023-10-20,2087.5,2087.5
2023-10-21,2090.5,2090.5
2023-10-22,2079,2079
2023-10-23,2088.75,2088.75
2023-10-24,2086.75,2086.75
2023-10-25,2089,2089
2023-10-26,2063.75,2063.75
2023-10-27,2041.75,2041.75
2023-10-28,2043.25,2043.25
2023-10-29,2036.5,2036.5
